name,musicbrainz_artist_id,musicbrainz_mbid,spotify_id,performer_pre_normalized,first_top_20_hit_year,first_charting_song_year,last_charting_song_year,years_through_first_top_20_hit,#_of_charting_songs_through_first_top_20_hit,first_song_year,years_active_on_charts,first_charting_song_position,first_charting_song_duration,top_20_hit_song_#_wks_on_chart_any_position,genre_tags_musicbrainz,first_year_on_chart_songs,genre_tags_through_first_top_10_hit,major_genre_categories_through_first_top_10_hit,#_of_major_genre_categories_through_first_top_10_hit,musicbrainz_major_genre_categories,musicbrainz_#_of_genres,spotify_genres,spotify_major_genre_categories,combined_major_genre_categories,first_top_20_song_major_genres,first_top_20_song_duration_ms,first_top_20_song_acousticness,first_top_20_song_danceability,first_top_20_song_energy,first_top_20_song_instrumentalness,first_top_20_song_liveness,first_top_20_song_loudness,first_top_20_song_speechiness,first_top_20_song_tempo,first_top_20_song_valence,first_top_20_song_mode,first_top_20_song_explicit,degree_centrality_top20_rolling5,harmonic_closeness_centrality_top20_rolling5,betweenness_centrality_top20_rolling5,eigenvector_centrality_top20_rolling5,power_of_connected_artists_top20_rolling5,top_20_hitmaker
!!! (chk chk chk),,,,!!! (Chk Chk Chk),,,,,,,2007-2007,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
"""groove"" holmes",,,,"""Groove"" Holmes",,1966.0,1966.0,,,1966.0,1966-1966,44,11,,,1966.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
"""little"" jimmy dickens",,,,"""Little"" Jimmy Dickens",1965.0,1965.0,1965.0,1.0,1.0,1965.0,1965-1965,15,10,,,1965.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,0.0
"""pookie"" hudson",232958.0,29dc9009-015f-47c4-bd17-ed2af6d2ae0c,,"""Pookie"" Hudson",,1963.0,1963.0,,,1963.0,1963-1963,96,1,,,1963.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
"""weird al"" yankovic",,,,"""Weird Al"" Yankovic",1984.0,1983.0,2014.0,2.0,4.0,1983.0,1983-2014,63,8,,,1983.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,1.0
$not,1820772.0,d993169f-2033-4810-bae8-564d4aab89cd,5IbEL2xjRtKsunfmsahLuO,$NOT,,2021.0,2022.0,,,2021.0,2020-2022,64,4,,"cloud rap, rage, east coast hip hop, trap",2021.0,,,0,Hip Hop/Rap,1,"['aesthetic rap', 'florida rap', 'rap', 'underground hip hop']",Hip Hop/Rap,Hip Hop/Rap,,,,,,,,,,,,,,,,,,,
$uicideboy$,1242195.0,ef326b3d-61f0-4379-aca0-21237d696d63,1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,,2024.0,2026.0,,,2024.0,2018-2026,71,1,,"hip hop, southern hip hop, cloud rap, phonk, memphis rap, horrorcore, trap",2024.0,,,0,Hip Hop/Rap,1,"['dark trap', 'new orleans rap', 'underground hip hop']",Hip Hop/Rap,Hip Hop/Rap,,,,,,,,,,,,,,,,,,,
'68,2698113.0,2bf3db78-1032-4111-9e1f-650b556bc2dd,,'68,,,,,,,2014-2014,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
'n sync,,,,'N Sync,1998.0,1998.0,2002.0,1.0,3.0,1998.0,1998-2005,8,22,,,1998.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,1.0
'til tuesday,,,,'Til Tuesday,1985.0,1985.0,1989.0,1.0,2.0,1985.0,1985-1989,8,21,,,1985.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,0.0
(+44),,,,(+44),,2006.0,2006.0,,,2006.0,2006-2006,89,1,,,2006.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
(g)i-dle,,,,(G)I-DLE,,,,,,,2022-2024,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
(hed) p.e.,,,,(hed) p.e.,,,,,,,2000-2010,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
(hed) planet earth,,,,(hed) planet earth,,,,,,,2014-2014,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
*nsync,2261.0,603ba565-3967-4be1-931e-9cb945394e86,6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,2024.0,2023.0,2024.0,2.0,2.0,2023.0,2014-2024,25,6,24.0,"pop, dance-pop, teen pop, blue-eyed soul, pop soul, r&b",2023.0,,,0,"Pop, R&B/Soul/Funk",2,"['boy band', 'dance pop', 'post-teen pop']",Pop,"Pop, R&B/Soul/Funk",Pop,200400.0,0.031,0.61,0.926,0.0012,0.0821,-4.843,0.0479,172.638,0.861,0.0,0.0,0.0001743223219733,4231.912096236436,2.0075932645169726e-07,0.001843503022196,196.5,0.0
...and you will know us by the trail of dead,,,,...And You Will Know Us By The Trail Of Dead,,,,,,,2005-2009,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
070 shake,1447081.0,741dbc8e-1cd5-4a66-b2b8-43bbad87ae12,12Zk1DFhCbHY6v3xep2ZjI,070 Shake,,2022.0,2022.0,,,2022.0,2022-2022,22,23,,"alternative hip hop, experimental hip hop, contemporary r&b, cloud rap",2022.0,,,0,"Hip Hop/Rap, R&B/Soul/Funk",2,"['alternative r&b', 'new jersey rap']",R&B/Soul/Funk,"Hip Hop/Rap, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
1 of the girls,360106.0,c653c820-39ad-4700-9269-a38b61f5f6c6,,1 Of The Girls,,1993.0,1993.0,,,1993.0,1993-1993,74,4,,,1993.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
1-1-six,,,,1-1-Six,,,,,,,2011-2011,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
10 years,230015.0,b18bc9c4-6f22-4f1b-a918-e9c86a39fe7a,,10 Years,,2006.0,2006.0,,,2006.0,2005-2017,94,2,,"alternative rock, hard rock, post-grunge, nu metal, alternative metal, rock, acoustic rock",2006.0,,,0,"Metal, Rock",2,,,"Metal, Rock",,,,,,,,,,,,,,,,,,,
"10,000 maniacs",2925.0,b9a06530-1241-4162-836f-7b8e79deaa58,0MBIKH9DjtBkv8O3nS6szj,"10,000 Maniacs",1993.0,1988.0,1997.0,6.0,7.0,1988.0,1987-1997,68,8,29.0,"alternative rock, indie pop, jangle pop, acoustic rock, folk pop, twee pop, pop rock",1988.0,,,0,"Pop, Rock",2,"['lilith', 'mellow gold', 'new wave pop', 'pop rock']","Folk, Pop, Rock","Folk, Pop, Rock",Rock,,,,,,,,,,,,,0.0008453085376162,454.9385350760413,0.0004105996039682,2.538722698148945e-06,175.5,0.0
100 gecs,1777231.0,d6d45dda-2377-4faa-947b-e071efa085c0,6PfSUFtkMVoDkx4MQkzOi3,100 gecs,,,,,,,2020-2023,0,0,,"hyperpop, deconstructed club, power pop",,,,0,Pop,1,"['escape room', 'hyperpop']",Pop,Pop,,,,,,,,,,,,,,,,,,,
100 proof aged in soul,38496.0,e2bd25ef-41c4-440a-b4e4-e7bcec4a3e39,,100 Proof Aged in Soul,1970.0,1969.0,1972.0,2.0,2.0,1969.0,1969-1972,94,2,14.0,,1969.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,0.0
100 strings,2725983.0,f8015955-3780-48d2-b030-e8098e6b2ad2,,100 Strings,,1960.0,1960.0,,,1960.0,1960-1960,98,1,,,1960.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
10cc,18.0,f37c537b-3557-4031-bfd6-ab63ced32854,6i6WlGzQtXtz7GcC5H5st5,10cc,1975.0,1973.0,1979.0,3.0,3.0,1973.0,1973-1980,73,8,17.0,"pop rock, progressive pop, art rock, art pop, pop, soft rock, experimental rock, rock",1973.0,"pop, rock, soft rock, classic rock, disco, pop rock","Electronic/Dance, Pop, Rock",3,"Experimental/Avant-Garde, Pop, Rock",3,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']","Experimental/Avant-Garde, Pop, Rock","Experimental/Avant-Garde, Pop, Rock",,366640.0,0.685,0.404,0.523,0.000498,0.282,-15.7,0.0575,133.738,0.164,1.0,0.0,0.0007593014426727,101.6742424242428,0.0,7.508032526992733e-05,16.0,1.0
112,20091.0,9132d515-dc0e-4494-85ae-20f06eed14f9,7urq0VfqxEYEEiZUkebXT4,112,1996.0,1996.0,2005.0,1.0,2.0,1996.0,1996-2017,13,28,28.0,"contemporary r&b, pop, r&b, dariacore, epic collage, soul, glitch, quiet storm",1996.0,,,0,"Electronic/Dance, Experimental/Avant-Garde, Pop, R&B/Soul/Funk",4,"['atl hip hop', 'boy band', 'contemporary r&b', 'dance pop', 'gangster rap', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']","Hip Hop/Rap, Pop, R&B/Soul/Funk","Electronic/Dance, Experimental/Avant-Garde, Hip Hop/Rap, Pop, R&B/Soul/Funk","Electronic/Dance, Hip Hop/Rap, Pop, R&B/Soul/Funk, Reggae/Caribbean",,,,,,,,,,,,,0.0005640953321111,1029.528896103883,0.0016160206711081,0.0008431940216969,188.5,1.0
12 gauge,1732751.0,8eef17e5-62a9-44e6-9966-eb811fac8546,,12 Gauge,,1994.0,1994.0,,,1994.0,1994-1994,28,21,,"grindcore, brutal death metal, hip hop, heavy metal, metal, hard rock",1994.0,,,0,"Hip Hop/Rap, Metal, Rock",3,,,"Hip Hop/Rap, Metal, Rock",,,,,,,,,,,,,,,,,,,
12 stones,51973.0,6f81a7dc-be31-4498-ae95-6d994ffec614,,12 Stones,,,,,,,2002-2012,0,0,,"alternative rock, hard rock, rock, post-grunge, christian rock",,,,0,"Gospel/Christian/Religious, Rock",2,,,"Gospel/Christian/Religious, Rock",,,,,,,,,,,,,,,,,,,
1910 fruitgum co.,24587.0,69d0a377-e815-43a7-a8bb-f74ca4ead721,,1910 Fruitgum Co.,1968.0,1968.0,1969.0,1.0,4.0,1968.0,1968-1969,4,14,14.0,"bubblegum pop, pop, sunshine pop, teen pop",1968.0,,,0,Pop,1,,,Pop,,,,,,,,,,,,,,,,,,,1.0
1927,24012.0,63dd51fd-ed5b-4f03-aa7d-d8c853f9430f,,1927,,1989.0,1989.0,,,1989.0,1989-1989,100,1,,"alternative rock, post-punk, new wave, dark wave, power pop, synth-pop, pop rock, gothic rock",1989.0,,,0,"Electronic/Dance, Pop, Punk/Hardcore, Rock",4,,,"Electronic/Dance, Pop, Punk/Hardcore, Rock",,,,,,,,,,,,,,,,,,,
2 chainz,843338.0,dff0d392-4cd5-4052-9fbb-f485df3891e5,17lzZA2AlOHwCwFALHttmp,"Drake, 2 Chainz & Kendrick Lamar",2012.0,2012.0,2025.0,1.0,9.0,2012.0,2012-2025,8,27,27.0,,2012.0,,,0,,0,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop/Rap,Hip Hop/Rap,,,,,,,,,,,,,,0.0067640832343677,5314.36349206313,0.0101304905765929,0.1510211358722014,7104.5,1.0
2 hyped brothers & a dog,108054.0,44d5a610-62a1-4a75-ad23-31d277f787e5,,2 Hyped Brothers & A Dog,,1992.0,1992.0,,,1992.0,1992-1992,90,5,,,1992.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
2 in a room,61970.0,98a62678-8db1-4bd5-add8-f24b198cdba8,,2 In A Room,1990.0,1990.0,1994.0,1.0,1.0,1990.0,1990-1994,15,22,22.0,"house, hip hop, hip house",1990.0,,,0,"Electronic/Dance, Hip Hop/Rap",2,,,"Electronic/Dance, Hip Hop/Rap",,,,,,,,,,,,,,,,,,,0.0
2 low,615502.0,10bf0851-637d-4981-9d95-ee982e4908ce,,2 Low,,,,,,,1994-1994,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
2 of clubs,340051.0,88f8470b-4a42-4764-984a-7bab5362ed32,,2 Of Clubs,,1967.0,1967.0,,,1967.0,1967-1967,92,3,,,1967.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
2 pistols,504859.0,6c43935b-313d-4434-8208-203b10c7b61d,,2 Pistols,,2008.0,2008.0,,,2008.0,2008-2008,24,20,,,2008.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
