iter	Passed	Remaining
0	1	670
1	2	723
2	4	814
3	6	810
4	8	809
5	10	856
6	11	842
7	13	801
8	14	812
9	16	824
10	18	836
11	20	846
12	22	855
13	25	878
14	26	869
15	28	870
16	30	865
17	32	868
18	34	875
19	36	876
20	37	862
21	40	870
22	41	861
23	43	853
24	44	841
25	45	835
26	47	832
27	49	836
28	51	833
29	53	830
30	55	839
31	59	871
32	61	865
33	62	862
34	65	870
35	67	866
36	71	898
37	73	893
38	75	886
39	76	882
40	78	879
41	80	880
42	82	875
43	84	877
44	86	872
45	87	867
46	89	861
47	90	856
48	92	852
49	94	847
50	96	846
51	97	839
52	98	833
53	101	834
54	102	829
55	104	826
56	105	822
57	107	818
58	109	818
59	111	816
60	112	812
61	115	813
62	116	808
63	118	804
64	119	799
65	121	796
66	122	794
67	125	795
68	126	792
69	129	794
70	130	790
71	132	787
72	134	784
73	135	781
74	137	778
75	139	779
76	141	775
77	143	774
78	146	780
79	149	782
80	150	779
81	152	777
82	154	776
83	156	774
84	158	776
85	160	773
86	162	770
87	163	766
88	165	763
89	167	762
90	169	762
91	170	757
92	172	755
93	174	754
94	176	752
95	178	750
96	179	745
97	181	743
98	182	740
99	185	740
100	186	737
101	189	738
102	191	736
103	193	735
104	195	734
105	197	733
106	199	732
107	201	731
108	204	732
109	206	730
110	207	728
111	209	727
112	211	724
113	213	723
114	215	720
115	216	717
116	219	717
117	221	716
118	222	713
119	224	710
120	226	708
121	227	705
122	229	704
123	231	702
124	234	702
125	237	705
126	239	703
127	241	701
128	243	701
129	246	700
130	249	701
131	250	699
132	252	697
133	254	695
134	256	693
135	258	691
136	259	688
137	261	686
138	263	685
139	265	682
140	267	680
141	268	678
142	270	675
143	272	673
144	274	672
145	275	668
146	277	667
147	279	665
148	282	664
149	283	661
150	285	659
151	287	657
152	289	656
153	291	653
154	293	653
155	295	651
156	297	649
157	299	649
158	302	648
159	304	646
160	305	643
161	308	642
162	310	641
163	311	638
164	313	636
165	314	633
166	317	632
167	319	630
168	320	628
169	323	627
170	326	628
171	328	625
172	329	622
173	331	620
174	333	619
175	335	616
176	337	616
177	338	613
178	340	610
179	342	608
180	343	606
181	345	603
182	347	602
183	349	599
184	350	597
185	352	595
186	354	593
187	356	591
188	358	589
189	359	586
190	361	585
191	363	583
192	368	586
193	370	585
194	372	583
195	374	580
196	376	579
197	378	577
198	380	575
199	382	574
200	384	571
201	385	569
202	387	566
203	388	564
204	390	562
205	392	560
206	394	558
207	396	556
208	398	554
209	399	552
210	401	550
211	403	547
212	404	545
213	406	543
214	408	541
215	410	539
216	412	538
217	415	537
218	417	535
219	419	533
220	420	531
221	422	529
222	426	529
223	428	527
224	429	525
225	431	523
226	433	521
227	435	519
228	437	517
229	439	515
230	440	512
231	442	511
232	444	509
233	446	507
234	447	505
235	449	502
236	451	501
237	453	499
238	455	497
239	457	495
240	460	495
241	462	492
242	464	490
243	465	488
244	467	486
245	469	484
246	471	483
247	473	481
248	475	479
249	478	478
250	480	476
251	482	475
252	484	472
253	486	471
254	488	469
255	489	466
256	491	464
257	493	462
258	494	460
259	496	458
260	498	456
261	500	454
262	502	452
263	505	451
264	507	449
265	508	447
266	510	445
267	512	443
268	514	441
269	516	440
270	518	438
271	520	436
272	521	433
273	523	431
274	525	429
275	527	428
276	529	426
277	531	424
278	532	422
279	534	420
280	536	417
281	538	415
282	539	413
283	542	412
284	544	410
285	546	408
286	547	406
287	549	404
288	551	402
289	552	400
290	554	398
291	556	396
292	558	394
293	561	393
294	562	391
295	564	389
296	566	387
297	569	385
298	572	384
299	574	383
300	577	381
301	579	380
302	581	378
303	583	376
304	586	375
305	589	373
306	594	373
307	596	371
308	597	369
309	599	367
310	601	365
311	603	363
312	607	362
313	609	360
314	610	358
315	613	357
316	615	355
317	618	353
318	619	351
319	622	350
320	624	347
321	625	345
322	627	344
323	629	342
324	632	340
325	634	338
326	637	337
327	638	334
328	640	333
329	643	331
330	645	329
331	649	328
332	651	326
333	653	324
334	655	322
335	657	320
336	659	318
337	662	317
338	664	315
339	666	313
340	669	311
341	671	310
342	673	308
343	677	307
344	680	305
345	686	305
346	688	303
347	690	301
348	693	299
349	696	298
350	698	296
351	699	294
352	701	292
353	703	290
354	706	288
355	708	286
356	711	284
357	712	282
358	715	281
