artist_a,artist_b
417540,2022213
294051,294052
8192,499109
12299,498977
52208,978051
672931,1036564
672931,1040869
8192,429189
672931,901566
52253,418215
672931,1456724
660974,1777494
52512,1055478
53755,192436
163184,207671
53429,1255053
430922,976388
98293,739997
656411,764435
430922,1034358
430922,1034359
430922,1034360
11383,1055886
430922,1034361
501,1028101
53429,1148384
11488,110301
672931,1116406
2230,249658
153124,749020
279383,772684
163184,300423
53508,393812
52157,1404913
251,459158
11489,1245967
8192,223251
52157,1216441
251,995660
52157,1305575
417540,1404609
52157,1314671
163184,250555
11488,1045332
11488,993970
11488,650719
11488,594177
11488,564594
11488,463053
11488,119870
11488,58266
11488,47912
11488,34686
1663,2864789
163184,273239
11488,1045331
161861,1303192
11383,1055436
98146,690505
98146,619717
434566,540869
656090,994348
656090,1009231
656411,660974
11383,70411
813,1312168
11383,24239
98146,1967123
153124,964551
813,1483061
654690,1258878
1647,35755
52512,1055479
153124,911091
153124,874716
1646,8303
660974,1027352
424151,1004914
8192,346436
424151,1005350
424151,1005351
1444,167437
424151,1005352
11387,334775
656090,1112124
53508,1133020
654690,1378415
656090,658204
53753,374276
53753,413728
53753,2008030
430922,966726
11383,1119094
1648,1231417
430668,1544415
656411,1026997
53336,308729
430668,1167239
153124,949127
161905,287019
1,723941
11386,920000
430922,883136
98293,2891234
11383,1684157
53429,335726
11383,1119121
53755,65283
53755,358263
11383,77180
434566,800841
161861,1364027
656090,812286
656090,703010
11383,1119116
52157,1881062
101,23163
52157,1586392
1644,516840
644166,863663
644166,838293
93099,1360021
93099,1360020
644166,838288
92744,955713
92744,596884
447770,547320
447058,688366
446859,1267529
111,838288
54168,110069
644166,1205416
644166,1047156
446247,994608
446859,829484
644166,1009143
644166,973771
644166,954152
644166,952176
446247,3145896
446859,700588
53916,1594776
99105,2172312
1644,599442
644166,884971
8905,136085
54136,2821319
54136,296545
54136,307174
54136,581593
14548,39204
1444,237631
54136,727679
446247,757263
446247,843338
645502,894303
54136,1025156
161861,189913
446247,531656
99105,2164119
446247,528363
153124,1321893
1478,16531
53990,878693
53990,1356260
95067,673904
95067,518096
95067,281711
54011,54136
340,42450
54011,86372
54011,307174
446247,463597
1478,5884
99105,692671
99105,534325
1663,299213
422058,796562
661089,734154
8192,1271130
12299,663555
99046,1295996
11428,1030116
11428,1030115
422058,477887
665024,998521
8192,955713
12299,595329
99046,1245972
661089,933083
8192,1068311
664809,2044509
8192,1085700
99046,1162179
664809,902231
99046,1014811
8192,1196299
12299,646762
11488,15387
11489,117711
52157,1404916
52157,1446117
251,1026488
11428,44318
163184,557963
52512,889390
661089,937036
99076,298625
11443,511571
11443,397450
672447,757263
1663,1133020
12299,534170
101,10960
672447,1086158
672447,1086156
672447,946233
672447,933991
672447,903849
52512,880989
279383,875261
420179,439652
101,33800
664809,835335
422058,600808
12299,758731
12299,776635
662155,2692938
661089,2094807
661089,1148649
661089,1087900
661089,1002178
12299,838276
1441,1213822
660974,913438
757263,786252
52743,54619
49634,1005732
1757,768034
49812,1310841
501,9045
363593,705009
363593,999738
363593,1044264
11674,1173343
365078,1004815
11674,1107022
2292,39915
11674,919501
6453,95928
11674,906202
11674,890890
95042,1376933
50159,210911
366866,1133020
10356,123166
114682,674614
11674,1464924
114682,457589
114682,379211
114682,367635
114682,309633
239,423590
362016,1286098
2325,1036303
49634,898706
757263,772684
49634,660974
49634,329534
23,24274
49634,362016
49634,378587
757263,807189
49634,429189
754656,1831349
49634,1068881
49634,1118475
2325,590233
114682,243038
6436,53232
273194,1060863
273194,1061493
2325,153025
49634,2022213
754688,754692
754656,1891162
49634,1016458
49634,887887
49634,770826
49634,809351
49634,843976
2325,1036312
49634,1360338
114682,133574
92422,725713
367435,517651
11674,399583
727130,1277539
165413,2150253
49920,2346941
11680,759243
3884,126718
49841,1092938
165413,749020
114832,161616
49852,177813
165413,729671
2292,315213
29,920000
1757,58497
6448,38126
3248,1131612
734972,923672
165413,2017771
165413,1965097
735773,1397093
735773,989545
735773,905024
54136,251620
735773,900134
735773,867864
165413,1649513
177,369185
49634,623242
114058,1446018
50270,100566
2138,347352
726074,2355693
50270,127618
50270,144783
11674,137803
31,1181
726074,1101100
369869,507301
726074,954152
11669,1016456
726074,954096
369869,542835
727679,885622
369869,1022402
727679,1110986
29,699187
11674,762201
2292,32857
239,805863
91246,339349
727679,2063095
727679,1721945
727679,1462228
50270,89545
727679,1055538
727679,1055537
369869,1034139
757263,796889
49634,596884
49634,540893
