artist_a,artist_b
1587,42495
1587,30247
123,10689
48536,52175
1918,48872
56981,111869
73294,96694
76693,142192
76693,2006528
1587,54316
1587,9762
33926,422310
33926,117885
77990,287494
14911,49867
14911,30518
1607,52672
73294,403001
17,464800
17,129378
17,138718
3722,529335
73294,463911
73294,520697
123,51541
123,318050
123,118096
123,113710
123,11078
24587,35398
24587,41242
24587,42226
24587,48504
24587,45874
24587,31049
38260,1246506
39987,44285
3722,67710
12679,35398
1587,12679
1587,35398
1587,1818
1587,15934
16159,23945
23552,216618
73294,265346
1587,14411
1607,15689
956,729771
10032,2054065
22141,381756
39085,49408
34112,221638
34112,178596
34112,49611
35679,77988
8619,89741
34596,377171
1710,6595
15074,622444
34112,66192
34112,413229
34112,184318
123,1432673
123,2096928
123,1560864
15667,47168
8619,48536
8619,39360
8619,76524
48536,76524
1918,582856
34112,75449
33955,632878
34112,179160
1587,12651
56981,59979
56981,59978
56981,140132
56981,87566
56981,87565
56981,220465
956,59241
73294,132100
73294,115004
1710,11177
1710,16288
1710,2277170
34112,558434
34112,2278329
1460,816294
1587,3702
34596,506737
34596,188257
98,228397
1607,909347
1587,2030784
815,173661
3143,38092
11072,388917
101,261245
16180,172583
387,5737
815,89738
101,39619
50053,1446208
3648,1487461
3648,1487462
3695,9991
101,43169
12783,137578
43396,52672
101,2461
815,807998
1528,7494
387,372708
42591,48228
16179,239292
104644,663235
1997,338608
4594,489922
33453,89032
2173,2434286
1539,94739
9315,59972
14284,372482
14284,372484
3648,46415
938,6439
938,12395
938,60536
938,239611
387,3533
387,363236
387,363226
938,16332
46,388
9764,1123947
3143,275168
33964,35917
33964,1438855
33964,1717466
33964,910112
3648,33972
3648,80797
299,69444
101,23252
387,33453
387,1745
387,37557
33453,37557
9315,156547
101,4508
31442,31448
299,4502
52488,2193538
14916,49167
41073,87576
1997,910946
1997,256052
1997,209089
34720,210445
5032,57834
5032,189290
5032,474210
5032,169074
299,44946
299,1300165
299,754206
299,2292
299,181809
299,858473
101,68740
210826,2535046
210826,2535048
210826,2535047
387,35680
31076,68367
24340,84959
387,1803
33453,52679
35977,298677
46,111852
16158,32942
2172,99721
39150,73294
39150,43394
39150,42744
39150,52672
388,41129
5510,69501
5510,82361
3695,5931
5032,107705
24340,49408
387,34317
77989,166884
33453,85503
33453,121070
5032,117406
5032,36015
5032,107935
5032,233341
5032,1081909
5032,399136
5032,1218619
4761,16179
41073,2381564
33938,1940218
388,24040
12299,31454
12299,254596
12299,302775
12299,242340
12299,476317
12299,128351
12299,236205
12299,728450
12299,405367
14199,51868
1748,16159
964,74236
12299,23678
12299,442573
12299,421260
1344,3745
12299,238197
12299,540535
12299,586638
51898,141738
39619,53180
42495,104377
12299,21361
12299,1303184
12299,495484
12299,222194
12299,512715
12299,23395
12299,122653
12299,34560
12299,358966
12299,358287
191,54316
191,9762
191,1587
30518,49867
42495,242448
42495,224030
42495,51806
42495,389988
42495,130808
42495,236205
12299,238352
12299,242276
12299,15697
12299,128760
12299,245961
12299,815751
12299,299301
12299,439201
12299,776995
12299,358091
12299,238392
3273,33453
3273,89032
45874,48504
31049,35398
31049,41242
31049,42226
31049,48504
31049,45874
12299,46947
12299,303190
12299,45037
12299,251289
12299,23034
12299,96336
12299,619568
3417,21791
12299,135425
12299,125970
184328,3016518
15290,117406
15290,60536
15290,239611
12299,163969
2122,340195
3467,807548
42495,383666
42495,623722
42495,534353
42495,391685
42495,245008
42495,420275
42495,45037
42495,111878
42495,483551
12299,37740
962,116352
12299,20877
12299,994123
30518,121625
1812,73294
1812,265346
12299,32736
12299,40050
12299,246126
12299,238340
14199,349496
12299,48825
12299,630936
4324,48420
42495,726400
42495,949057
42495,696476
962,49167
12299,50817
12299,15033
12299,45435
12299,47881
42495,662124
42495,122653
12299,442461
12299,48152
12299,1228860
12299,618690
12299,254605
12299,442578
1745,33453
1745,37557
12299,12439
12299,462485
12299,446004
12299,512719
12299,585942
12299,442456
12299,776996
12299,356391
12299,1419232
12299,501460
12299,778942
12299,442305
12299,1765531
12299,34106
12299,52995
12299,115890
12299,51141
12299,333697
1748,654525
12299,20157
12299,318043
12299,307469
12299,431358
12299,391683
12299,1132392
95016,564896
12299,80430
42495,271581
12299,34491
12299,56001
12299,650193
12299,122373
12299,421491
12299,12686
12299,59511
12299,107935
12299,237581
12299,30247
3417,4324
3417,47168
3417,15667
4324,47168
4324,15667
222033,383192
42495,166494
42495,251289
8718,44794
1748,344488
12299,271579
12299,238333
12299,271261
42495,73021
14410,486735
3467,219285
1745,68367
1745,4021
1745,31076
12299,37545
12299,249425
12299,242648
12299,242167
12299,740375
12299,242647
12299,346366
12299,107912
12299,441783
12299,439748
12299,532927
1344,11617
1344,4688
4688,11617
12299,129195
12299,276195
12299,673463
12299,238346
12299,520317
1773,11991
42495,898923
24502,39678
12299,171234
12299,674280
12299,420275
30323,32799
14410,46549
30323,65571
30323,76512
10792,422126
63862,535083
12299,32513
12299,429242
12299,33725
12299,16210
12299,414164
33953,2469659
964,75742
964,360922
962,12313
12299,238335
12299,337319
12299,521731
58721,166884
58721,77989
12299,444629
12299,694087
77291,496687
248648,2306077
3417,3462
12299,131926
42495,249425
42495,238337
42495,446005
42495,262096
42495,650193
124850,1015745
39173,48210
39173,112068
42495,358966
42495,412437
519,63498
12299,42495
12299,389988
42495,171234
42495,246126
30323,127803
30323,39360
30323,409650
42495,1188645
42495,947904
42495,776799
12299,22462
962,21154
1812,38594
12299,38633
12299,760215
3417,48418
4324,48418
12299,346571
12299,464158
2193,1103335
2193,479842
12651,1664281
12651,1048427
39082,287494
825,3702
825,104636
37917,739254
39082,73294
34005,187824
825,12679
30554,42227
38891,820605
38891,52024
38891,41543
73485,365148
138718,464800
825,15072
20334,35398
20334,41242
20334,42226
20334,24587
20334,48504
