artist_a,artist_b
813,1240195
1607,2145214
136091,2792697
1492430,1738027
527516,2047665
3219,34824
1206587,2844522
1206587,2109333
1867874,2450767
871338,2630803
1851042,1851043
24018,704701
30471,1401443
30471,805610
30471,1347249
30471,2431878
927951,1346635
153653,2396033
153653,1239664
14423,1512501
30471,2240912
1607,137803
134370,163184
905024,2693033
698756,988860
698756,2214756
698756,1116838
1361541,1477252
16350,1455068
450754,1886645
30471,1022373
30471,981199
981199,1022373
188156,2693515
1603703,2886674
1603703,1790163
156,304
30471,2127631
815831,2656899
30471,51840
30471,2784179
136091,2988662
493,383088
493,1843660
30471,641496
30471,1219113
30471,1121517
680671,1331271
680671,1833209
493,1296044
493,89559
1606,1456823
1606,2916283
698756,803566
30471,1674209
9373,12264
627661,1709854
30471,868934
30471,1647759
136091,2767694
2429125,2429350
30471,134370
698756,1209913
30471,1719050
549575,805830
30151,1286140
20544,1814190
20544,1350219
136091,1371636
30471,549575
815831,2657004
1607,1135273
1607,1111842
1607,2225128
838288,1348240
838288,1130852
136091,1509294
549575,1313421
1180526,1277206
493,188156
939035,1254571
9341,823336
9341,9468
641206,1396960
136091,2723872
610590,750972
47812,82822
1867874,1951861
153653,1288082
956,21240
956,2732434
1606,2620069
838288,929841
838288,1823767
1277206,1855855
1674209,2041073
1080570,1577687
30471,67208
30471,383224
1867874,2438191
698756,1361541
1144,113182
1144,12753
153653,435693
153653,2008369
730638,2470730
153653,455692
493,78253
1867874,2901599
497,2948850
497,1516522
1879374,2512013
493,359754
493,838293
549575,877527
153653,1663491
730638,803820
153653,1270412
153653,1902006
153653,675459
487,5196
163726,1489816
163726,1124147
493,1975382
493,2079375
493,335724
24018,828501
24018,2715123
1674209,2596086
2129,39366
136091,2172341
30471,2752142
30471,2110290
2129,1555714
136091,1940940
136091,2767702
136091,1234158
136091,1101974
838288,2166785
838288,2672960
812889,2826404
1851042,2313729
871338,1486831
450754,2892076
9606,2795322
9346,100154
9346,35051
47218,2338327
698756,1023737
42,59036
1607,15071
14423,137803
493,2010069
549575,975930
30471,638368
188156,1935196
1750330,2032769
1277206,1277721
311,74202
493,858626
1492430,1669618
136091,2983240
47812,2803638
939035,2764904
939035,2343177
1607,2682353
1607,540613
30471,1750328
871338,1247518
30471,871338
30471,1247518
1327733,2641518
1327733,1447081
1277206,1696271
30471,1085653
30471,2281161
497,132274
497,2745030
1085292,2751481
516893,2611559
284,95820
1101110,2329120
3113,830096
641496,1983113
1239664,2396033
189913,1406719
176938,858793
176938,2780359
34409,215254
74202,933991
757263,1027805
11062,336330
14462,1085653
436557,2709190
436557,1902506
14462,959374
14462,934240
1287085,2641518
459158,2323532
531923,641206
828613,1063065
803820,1563587
870909,902697
870909,2008277
459158,1313031
227182,1536558
227182,271799
841205,2601923
717,2429186
641496,1290933
641496,672931
641496,1022373
928102,1742286
641496,1270355
1101110,2040153
541578,2641518
459158,1027839
537595,2206347
1101110,2354830
157896,1603398
3113,2767038
189913,1042565
347152,807928
514,2407017
3143,38092
1360628,3087905
185321,2311586
641496,1099337
641496,1852451
514,1653740
537595,2723622
514,39229
1239664,2536327
1239664,2004775
445593,1976530
445593,1038549
445593,1976563
2354830,2391727
3113,1493271
38025,71573
38025,163726
36961,2653136
514,1536558
101,1539
189913,294212
1287085,1697548
14462,1663491
14462,153653
2098,770826
36961,2211349
36961,3150914
3113,1165718
3113,2507829
3648,1109298
3648,2134910
14462,861492
346,670541
624860,2678383
870909,1084840
65422,1130852
1239664,1855977
870909,2604698
769555,2576835
2651,2237787
2651,2434755
76390,1478688
2050078,2254008
1169767,2050078
1169767,1801430
1169767,2254008
624860,757263
11336,239936
68173,362053
347152,1084840
112461,1633635
14462,2286374
641496,2884790
1928117,2277667
514,841205
828613,2238422
537595,1276156
1697548,1863480
537595,1313031
537595,1010888
514,1486832
624860,2149618
3113,2009378
3113,829965
3113,1007808
3113,1704837
2354830,2693515
132274,2745030
1290968,2287498
12299,45435
12299,32512
12299,303190
12299,236231
42495,73502
42495,124934
42495,421260
12299,73502
12299,23395
12299,37544
12299,124934
12299,42495
12299,421260
461246,805610
171,46340
32522,2299099
881185,2675016
171,12002
171,2254008
12299,12439
12299,792649
12299,773916
12299,646677
