iter	Passed	Remaining
0	3	642
1	4	367
2	4	274
3	5	223
4	5	197
5	6	176
6	6	159
7	6	148
8	7	149
9	8	142
10	8	135
11	9	129
12	9	124
13	10	120
14	10	116
15	11	118
16	12	115
17	12	112
18	13	109
19	13	107
20	13	104
21	14	102
22	15	106
23	16	104
24	16	103
25	17	101
26	17	98
27	17	96
28	18	95
29	18	93
30	19	92
31	19	90
32	20	88
33	20	87
34	20	85
35	21	85
36	21	83
37	22	82
38	22	81
39	23	80
40	23	78
41	23	77
42	24	76
43	24	75
44	24	74
45	25	73
46	25	72
47	26	72
48	27	71
49	27	71
50	28	70
51	28	69
52	28	68
53	29	67
54	30	68
55	31	68
56	31	67
57	31	66
58	32	65
59	32	64
60	33	64
61	33	63
62	34	63
63	34	62
64	35	61
65	35	61
66	36	60
67	36	59
68	36	58
69	37	57
70	37	57
71	37	56
72	38	55
73	38	54
74	41	56
75	41	56
76	41	55
77	42	54
78	42	54
79	43	53
80	43	52
81	43	51
82	44	51
83	44	50
84	44	49
85	45	48
86	45	48
87	46	47
88	46	47
89	47	46
90	47	45
91	48	45
92	48	44
93	48	44
94	49	43
95	49	42
96	49	42
97	50	41
98	50	40
99	50	40
100	51	39
101	51	39
102	52	38
103	52	37
104	53	37
105	53	36
106	54	36
107	54	35
108	55	35
109	55	34
110	56	34
111	56	33
112	57	33
113	58	33
114	59	33
115	59	32
116	60	32
117	60	31
118	61	30
119	61	30
120	61	29
121	62	29
122	62	28
123	63	28
124	63	27
125	64	26
126	64	26
127	64	25
128	65	25
129	65	24
130	66	24
131	66	23
132	67	23
133	67	22
134	68	22
135	68	21
136	69	21
137	69	20
138	69	20
139	70	19
140	70	18
141	70	18
142	71	17
143	71	17
144	71	16
145	72	16
146	72	15
147	74	15
148	74	15
149	74	14
150	75	13
151	75	13
152	75	12
153	76	12
154	76	11
155	77	11
156	77	10
157	78	10
158	78	9
159	79	9
160	79	8
161	80	8
162	80	7
163	81	7
164	82	6
165	82	6
166	83	5
167	83	5
168	83	4
169	84	4
170	84	3
171	85	3
172	85	2
173	85	2
174	86	1
175	86	1
176	86	0
177	86	0
178	87	0
