artist_a,artist_b
33972,82643
110033,195176
33972,44285
30570,683355
31103,83515
33972,46698
130489,375885
110033,2581844
110033,126032
110033,2581845
110033,2581847
136,1677
2717,2807
1051,309914
52544,1170139
10356,32146
33926,422310
33926,117885
1051,729960
18,1672
10474,23156
10474,34563
33972,140153
33972,284308
910,12651
910,42221
910,56063
33347,51209
1352,2077
1352,349122
1352,463072
24587,35398
24587,41242
24587,42226
24587,48504
24587,45874
24587,31049
38260,1246506
18,38286
1352,61755
35957,779643
1051,51655
90068,543466
39926,41532
160588,286239
40831,1565624
40831,818329
1051,42495
1051,242417
1051,950464
910,67844
1051,4389
1051,2461
1051,9414
1051,242448
1051,224030
1051,226759
1051,21609
1051,591284
1051,448370
183281,384988
556663,1103396
556663,2731204
556663,556664
556663,1580558
556663,2947509
556663,2942091
18,40185
49463,51441
18,233
18,4541
10474,267531
10474,47942
10474,81792
33972,80797
49463,53785
21318,431123
805,408928
805,168802
805,168801
805,205414
805,158216
36125,163651
8619,89741
183281,1025723
1051,481750
1051,777319
1051,777343
1051,415740
1352,1794
1677,41173
18,9971
18,14293
18,14549
1352,1440
21356,109273
1723885,2866309
9903,38598
1051,237524
2925,10302
2925,71049
2925,5769
36389,1469567
2925,3322
2925,43737
556663,1118962
556663,675228
556663,742888
8619,48536
8619,39360
8619,76524
21356,46447
12689,45245
1051,871520
1051,48141
481,10042
481,1440
1051,213787
1051,521033
1051,599489
1051,125870
1051,638250
10474,21982
15945,31429
33972,46407
41436,41994
21165,804397
61970,113469
10356,63862
1051,831634
1051,411033
1051,71102
1051,271226
1352,1436
9373,15102
1352,52034
1352,777117
1051,23678
1051,9010
10356,30323
33972,245888
9903,93098
1051,306450
52544,131918
1051,21671
1051,163983
413870,1053049
413870,859282
1352,12077
987264,1657432
987264,1654867
46894,63884
18,31429
1051,239178
1051,78333
1051,4343
1051,4344
1352,158321
9296,39204
910,991
443,57175
1352,38298
987264,1405247
1352,31047
130489,368250
108054,1540889
110033,1194072
110033,415740
62668,259921
62451,313946
35324,60471
35324,62451
35324,313946
413870,1599839
20,334675
1939,263558
3416,33371
1939,2797
65937,105903
249425,631827
249425,1188645
249425,366769
249425,650193
1460,1629
11229,92365
11229,39320
11229,213296
1460,38374
779,7854
3416,1051531
3416,154917
1460,11062
487,5196
10032,16172
10032,277079
249425,276195
249425,1134194
9756,131230
9756,115946
9756,1429882
51966,175024
51966,287798
249425,442632
249425,444825
249425,262096
1165,2626
1082,55818
1082,578860
49595,967873
49595,2206920
42,1723811
10032,179806
22492,59001
20,1818
1939,2639
1165,2909
165508,265674
249425,928866
249425,275137
249425,561820
249425,1553467
487,3074
1460,1745
1460,142197
1460,989421
249425,271226
10144,39431
10032,46549
3416,340967
23955,293579
23955,455065
86912,117972
3416,73937
3416,21791
3416,3417
11229,75545
11229,165151
11229,2039801
11229,50039
1165,125737
51966,1852015
10032,23163
104616,136839
249425,1160146
249425,358076
249425,776799
249425,1151848
10032,949213
991,104808
991,49611
991,33930
1460,37468
22492,30313
991,42221
991,46192
991,2266070
3416,105088
249425,521724
249425,732764
249425,1218395
1460,104475
10032,2054065
3416,829253
186285,1961052
39085,49408
39085,47773
22492,53785
22492,30416
22492,49463
42,77365
42,173524
10032,134494
6768,130626
6768,448165
49595,557768
991,12686
5884,409581
50039,59855
991,11540
991,2173
991,14259
51966,1570094
15074,622444
1460,3739
51966,2803936
3416,48162
49595,1569362
42,1755068
10032,190183
51966,1990262
249425,262734
249425,1157773
249425,1157774
249425,547966
49595,2106122
49595,2206912
49595,140154
49595,2206914
3416,1574155
50039,260427
105325,242861
105325,122188
105325,241094
10032,32799
249425,735726
20834,1291755
37415,2735384
10032,59979
4818,84982
673259,1273412
1787,267129
249425,636380
249425,454047
22492,454795
249425,740375
51966,838865
1460,12783
1460,9491
34074,36743
193634,1019937
40720,53135
40720,135047
40720,352934
40720,239292
3416,4622
2675,30874
487,21153
11229,90182
10032,296849
49595,863728
42,260497
111881,165060
1460,562525
249425,740173
51966,185442
6768,479803
6768,439353
6768,296573
6768,1081932
22492,1835535
22492,531905
31299,52812
1787,23951
50039,264962
487,45726
9262,32942
1713,1715
186285,247354
31299,184476
31299,125089
249425,1213207
1788,11800
39085,47763
37415,443388
34074,36648
3416,700686
85045,2199410
85045,677480
3416,140345
3416,1099389
3416,4350
3416,63836
1165,6081
1460,816294
3424,1124787
249425,446005
51966,2376528
126677,369133
3416,2359454
104634,121558
1732,35913
1732,803012
49595,142344
20,9152
32888,32992
32888,246001
32888,148133
249425,442892
249425,490925
6768,366519
6768,1825673
1788,136064
1788,6344
3416,247354
51966,2406562
22492,23489
22492,42495
249425,947904
6768,23156
6768,11584
6768,667298
6768,32254
249425,949014
249425,1445198
249425,906569
249425,892768
249425,636523
22492,51966
51966,631130
10032,1802541
49595,1974451
10032,30906
1165,63599
17,196
2292,21001
17,387
17,15937
17,1528
2292,123644
813,1240195
23462,65665
107705,244660
107705,587144
156,4541
156,983
2197,8524
34452,147350
40217,426595
99,340963
99,220984
422310,492996
99,119529
137349,1926370
4769,22415
48536,52175
12753,33277
99,24540
99,340965
23231,122499
99,835895
99,43169
99,734185
24110,74964
39320,92365
39320,213296
99,262601
813,1094885
99,183776
813,1090208
9213,39926
21240,195974
21240,91556
21240,294522
2292,3752
99,770735
21240,23039
137349,1519300
137349,1519299
105082,359347
362,366108
9213,360490
23552,33716
32156,362541
99,835893
99,124272
99,743343
99,639096
99,424373
117972,3194113
275580,2301300
275580,889929
310,10519
4769,41651
2292,4502
56981,111869
73294,96694
17,47632
36312,612087
121071,1981172
422310,2600803
40217,77993
99,535126
99,777894
99,356375
99,1817123
103690,868977
99,188388
117972,157396
9213,31429
105082,112028
99,1653
813,47637
99,1225714
40217,792436
1419,1605
4769,64218
77990,287494
4188,2377970
4188,2377972
985,277374
99,148566
813,15127
23552,267883
24110,858500
99,131921
99,340962
99,4623
73294,133213
99,326356
99,538120
99,122040
73294,403001
17,464800
17,129378
17,138718
17,825
74761,232732
9800,39169
16162,409581
99,2422589
99,104809
99,519
105082,2496364
17,2863
4769,1051531
4769,891144
2292,2444
54797,99600
99,1530629
17,16160
17,491293
17,129761
73294,463911
73294,520697
73294,2211940
99,816253
99,1889337
99,99594
99,1051531
32156,471892
9213,1075216
9213,142507
99,140345
813,4541
21240,90656
4188,1674570
99,101
105082,686290
105082,480475
105082,802688
99,340
99,340960
4769,206426
119262,3056978
1638,1655
39987,44285
99,4542
99,1692088
99,830663
813,238561
2292,3452
62617,289419
21240,60724
23552,115011
99,168604
99,751275
99,76563
99,31535
99,595917
99,335311
46317,121251
813,433395
99,124275
99,122489
105082,442537
105082,146052
105082,1593637
99,816254
16516,86885
99,1743
813,938
12679,35398
422310,675242
105082,2120747
105082,1589956
99,45799
99,447621
113388,240185
105082,305169
99,10792
24110,104711
10937,30568
6595,16162
30563,425118
23552,216618
99,835899
99,403989
73294,265346
222837,224428
117972,845099
99,2443814
9213,11649
9213,53703
23951,34990
23552,542719
257986,1057667
17,813
10937,614711
105082,380430
73294,1060038
99,812194
39987,96694
35679,77988
813,95320
813,34087
99,557768
42715,305301
9596,118505
99352,125527
99,276271
99,835892
4769,113904
23552,205912
813,6453
813,12651
99,2343335
99,1948629
99,119528
99,1308455
105082,318956
105082,318955
99,2021964
813,33014
11046,34128
2292,10138
21240,35574
4769,410186
99,15247
99,1771
99,139482
30515,219919
9213,9385
9213,34594
813,129376
813,193396
23935,105082
99,1187438
33989,1746024
1419,11636
73294,114997
99,107148
99,4335
2292,44946
2292,1300165
2292,754206
2292,181809
2292,858473
17,11050
99,68740
322217,371765
23231,97504
23231,43800
23231,52178
99,139487
99,748904
156512,2273477
48536,76524
40217,52679
813,21356
813,46447
813,1912
32156,77874
813,114959
388782,2833956
99,87060
137349,151892
99,203277
1419,1587
1419,30824
1419,1659
23231,38594
23231,42565
23231,42228
99,97546
2186897,2186898
2186897,2186900
4769,487529
156,1638
99,403993
99,248366
117972,287494
117972,3191746
117972,440038
1419,1660
748014,1116487
9213,147894
156,1616
105082,407214
99,4626
813,9158
813,2824
10661,116919
4769,5371
99,2461
99,68745
99,4350
99,63836
23935,159642
99,347758
99,1692854
99,113388
2292,57834
2292,6439
99,2431799
24110,2710893
24110,2710895
99,73992
99,956
99,509927
44,5052
3081,61711
99,1530631
99,389342
21240,56573
9213,24350
23231,69494
2109,23231
2109,69494
2109,21817
21817,23231
21817,69494
9596,173442
9596,305056
56981,59979
56981,59978
56981,140132
56981,87566
56981,87565
