artist_a,artist_b
318723,2134830
318723,2085338
318723,1917565
1597314,2429609
318723,1909053
318723,1901426
879127,1311982
162176,1364856
279383,2257604
318723,2160215
316910,1821431
879127,1479867
279383,2257605
160602,2067384
162176,1645006
318723,2215675
279548,2133072
318723,2283285
318723,1541051
163184,975013
163184,895904
318723,1536466
163184,838181
1597314,2092650
318723,1852738
318723,2267789
163184,1184330
137803,2187425
1598431,1660598
1432528,2158412
137803,2230102
1597314,3149872
318723,2533381
1596417,1761380
2230,674757
3198,233707
4541,44320
316910,1536466
279383,2257602
316910,2089106
160602,2138806
316910,1976530
316910,1960113
141885,2914755
141885,3080783
879127,1276199
142148,164338
879127,2063939
2709,9655
22532,50039
2090,2147
142148,579085
2090,3175
279548,2014922
2709,14389
316910,1633576
279383,2257600
316910,2184050
316910,1436247
316910,1306785
1491493,2003466
316910,1210080
160602,1745497
316910,1038239
279383,2083397
279702,442605
4541,74688
4541,72327
279383,2175202
279383,2257599
2077,9987
316910,2215675
1597314,2160060
4541,55795
279383,2103470
316910,1167898
2230,1105214
279383,485661
162176,2921835
3028,1066875
2047,539637
162176,2416375
162176,1712683
2047,1005999
501,1878544
138292,485177
4690,119964
1489322,2139108
1489322,2116841
163142,1125071
163142,835325
2038,2134481
163142,795537
163142,260138
2047,2097740
899493,1267070
501,1509661
501,1406719
1597314,2092648
35629,2124036
163184,618346
1489322,1818888
2090,14403
1489322,1819344
1597314,2068321
501,1434557
1597314,2054499
318723,1009811
163184,176938
1597314,2012698
2230,169160
35629,2206011
1597314,1902316
1489322,2220906
294212,2221560
35629,2040453
899493,1282361
1597314,2011937
322268,2347012
277964,908648
36824,438157
322268,766132
137803,1609843
322268,654690
277964,2230461
1489322,1494442
2038,377107
177,1870555
163184,1246034
279383,455687
1597314,2190798
1597314,2188815
318723,1655555
1597314,2160065
1489322,1587116
899493,1319508
899493,1010888
163184,1267070
163013,848315
1597314,1974685
501,1113859
1489322,2110552
501,1955956
163184,672304
177,2028797
163184,1252501
1489322,1592507
137803,1943316
1489322,1598431
2230,965575
320014,809306
2038,1666522
2038,1722518
1598431,1941097
2230,1042979
1597314,1979517
21416,250553
279702,1229398
149754,2123184
898962,1506168
1569686,1775544
1569686,1767231
157343,233941
898962,1519546
1549139,3077062
2171,409581
149754,1349332
149754,1471597
149754,1597314
149754,2118778
1550995,2635510
21872,1277206
2129,1994796
284,1031808
2129,1025840
284,2601196
284,3071315
138292,2224867
2230,37880
138292,2259606
22532,1247252
22532,1215297
317952,943955
1597314,1813718
2129,2373239
306738,913580
298,16140
2171,322885
2129,527517
35755,638546
155298,2129219
155298,1346146
155298,1141463
149754,2190632
2130,35481
1569686,1644516
239,2751566
294223,605105
294223,662760
1541051,2242785
157343,1557393
239,447801
1569686,2028914
239,497255
1547495,2198859
1545399,1634918
294223,1928694
1569686,2016970
163184,643372
1547495,1881785
294223,1411013
294223,1365345
294223,1302014
294223,2175307
138292,2224865
294212,2933415
294223,308982
155207,895371
2130,670427
153124,213521
2130,1262790
1550995,1702856
1550995,1722322
2122,1060054
1547495,1955653
1549139,2274848
1550995,2215093
2129,1270017
3517,37468
255,1377475
2130,2693690
1549139,2274846
294223,445509
1550995,1754653
883133,1976563
1596417,2159905
138292,2096765
899493,2016970
2050,1121330
279383,1136812
901244,1615497
879058,1861729
279383,1137343
3415,2141023
883133,2050078
344,55692
317952,2248615
4541,1346646
138292,1152551
4541,1290933
138292,823361
162176,1268161
162176,1234037
317952,2248652
2970,1066875
899493,2009378
899493,1817617
1594826,2087744
141885,2442941
1594826,2257611
1594826,2235989
236,1756758
4541,20117
4541,9130
899493,1839802
2709,306144
1594826,2154520
236,1456831
236,1382279
141885,1034362
141885,2121701
1492424,1588966
138292,802405
279548,845936
2090,35931
35629,2580840
899493,1549790
1489814,1946826
1489814,2028914
2815,1448549
1597314,1750330
1597314,1697741
1597314,1615600
279383,1922730
1489814,1801149
279383,2007588
879058,1976530
879058,1976563
1597314,1873646
1597314,1873251
879058,2155557
879058,2184047
1489814,1569686
4541,84189
162176,1165408
4541,178910
4541,304981
2966,2131668
162176,1147220
162176,650387
162176,410719
501,2134830
501,2287877
2966,279274
4541,232275
2050,22649
501,2287879
162176,211777
2931,1613276
899493,1747885
35629,2580841
501,2380023
22532,1537648
2966,3779
318723,1254571
898962,2262786
22585,132013
282355,1453377
908068,1454308
929841,1591257
908068,1935196
881185,1697192
881185,1717551
159282,2144862
2098,63184
159282,2144861
1594826,1870557
1492430,2622072
1594826,1717805
506,598537
1493482,1549790
1493482,1569686
905468,1618352
883133,1662653
1594826,1702203
311360,2217425
282355,1346088
2091,154326
510,253121
929841,1444148
1508866,2237124
881185,2098610
881185,2117879
236,1080570
282355,1348201
159282,2010753
2562,52736
199,322292
144216,2436720
282355,956093
1501771,1960564
1501771,2822590
143371,1321872
236,771509
281667,700267
316739,463933
506,2247457
1594826,1956896
1594826,1928667
326,2460233
316739,2119008
316739,2014953
905024,2079957
316739,1499039
2090,572166
21453,239290
315753,1464190
21453,1043011
279890,2214790
21453,1054907
21453,1130274
898962,2521983
315753,805610
315753,1495885
3417,1997778
143296,233941
2090,329552
1593507,2065074
1593507,1924117
1493482,1587139
316739,1261342
2090,239315
142998,279621
2090,241744
997433,1600273
316910,504032
279702,2153836
2651,1106118
142998,459145
2090,315614
905024,1400937
279702,2192574
1594826,1986884
279702,2047417
347342,990034
510,48734
159839,2185412
188648,1009268
874716,1370261
107513,110860
107513,136877
107513,143680
107513,160090
107513,162176
7028,79281
107513,211777
107513,650387
107513,1147220
107513,1165408
107513,1234037
107513,1268161
2388,1717598
107513,1364856
107513,410719
107513,1645006
188648,1817810
106936,1116653
3217,117713
1290968,1834232
396940,792846
294223,690794
1290968,1852738
1808636,2345232
791,754692
2388,1881843
7028,194404
188648,1449002
188648,1232156
1819690,1902316
7028,163759
188648,1970284
1819690,1955653
7028,124252
188648,1732023
159839,394070
284154,956093
107513,1712683
2091,2768547
199,125737
311451,2236930
199,189266
1590368,1865457
36687,82029
281667,1283303
313011,549629
1590368,1944784
294212,1247252
315213,968334
315213,399617
280730,2138618
1590368,2138811
1590368,2108374
280730,2278487
281667,1106935
400,1283303
2091,1516924
281667,1290933
791,1834232
177,81091
107513,2416375
373,2283285
188648,803978
952603,2781709
1819690,1829232
510,146720
1819344,2257618
1819344,2177429
791,1290968
791,1290933
1819344,2124306
361,48734
359,3179604
313164,1193530
791,1346646
4752,121932
1494442,1510605
143296,1677067
179,858626
294212,1101110
883133,1290916
179,874303
2215,1575551
1587139,2174880
2215,1496144
199,377467
1587139,2094779
1587139,1974150
