artist_a,artist_b
17,196
1939,263558
385,445780
17,387
17,1528
1710,16189
1710,3534
1710,14875
956,46894
813,1240195
156,4541
156,983
10661,20092
237821,237825
497,295040
1607,43390
1144,12753
123,924
14869,16161
3219,130500
33955,64220
33955,277970
956,1616
1607,2909
31103,83515
910,42495
1460,1629
311,24185
311,12387
311,938
24110,74964
39320,92365
39320,213296
37079,287810
37079,406254
813,1094885
976,14410
813,1090208
39197,301513
9746,537706
487,5196
136,1677
1799,33012
1607,52672
2717,2807
23552,33716
9366,9578
3557,135255
3557,33440
2278,106546
37079,172541
37079,277667
1082,55818
1082,578860
317,48622
42,1723811
10032,179806
1710,6595
1710,6439
9213,31429
1607,12264
813,47637
311,43212
9346,30291
813,15127
23552,267883
1607,103770
1607,34598
1939,2639
16172,23678
56981,111869
8619,15666
39197,525559
39197,206426
17,825
9800,39169
1607,740756
17,2863
156,1165
497,257290
17,16160
17,491293
17,129761
9386,16334
9386,12022
9386,12299
9213,1075216
9213,142507
1710,23955
1710,3331
1710,1803
1710,3533
1710,293579
1710,455065
813,4541
1638,1655
6441,15689
813,238561
813,433395
2110,36371
16516,86885
10032,949213
1607,1633
1607,34317
1587,940946
1460,37468
160588,286239
976,206426
311,4031
9341,24191
9341,40327
9341,9346
9346,24191
9346,40327
910,67844
956,2173
9213,11649
9213,53703
23552,542719
42,77365
42,173524
10032,134494
976,148804
805,408928
805,168802
805,168801
805,205414
805,158216
42,176
42,11650
42,2501
1460,3739
1460,863351
15667,21791
1587,38093
1677,41173
24110,46412
24110,42221
311,211586
1710,662680
1935,32989
14869,23538
39320,177781
123,1163965
123,2008523
123,49470
123,135006
42,1755068
813,193396
23935,105082
24587,45874
317,2653
9346,31747
10032,32799
2701,165231
9346,38188
10032,59979
813,114959
1607,6245
497,132274
233,938
23231,38594
23231,42565
23231,42228
9385,31442
2784,37999
17,15937
156,1638
956,1614
317,2144
481,10042
481,1440
2510,211496
2510,222362
15667,16162
10661,116919
1460,12783
1460,9491
30471,111523
2675,30874
487,21153
9213,2098852
47864,79495
39197,297739
10032,296849
42,260497
9746,108609
9746,968313
9746,2375533
385,7854
23231,69494
2109,23231
2109,69494
2109,21817
21817,23231
21817,69494
123,10689
20091,167512
10661,31507
10661,59656
493,128885
493,497
493,22656
497,128885
497,22656
813,1773
1587,6587
487,45726
2510,60951
24018,40344
385,140025
73294,105832
73294,582341
1607,20422
486,2858
486,35565
486,9908
486,9181
486,42997
486,496395
486,51368
486,9920
486,9923
486,107834
486,10208
486,1997448
486,35566
9378,183281
39169,115353
1607,16190
36785,2618076
976,10792
125,77427
150100,213707
156,1845
2510,30326
493,957
493,92744
493,106917
180220,227161
311,327
493,186321
123,11078
813,1638
813,1086
9386,46894
976,38266
813,22006
813,1242144
813,10095
385,40431
46894,63884
2109,4350
35884,148031
1710,3418
35884,136129
17,843743
1607,34635
311,21368
17,24274
37079,464333
385,33357
231,825
39320,1797045
10032,30906
17,1799
73294,133213
35324,60471
35324,62451
35324,313946
2119,9130
2798,312762
1802,411745
5032,42007
11584,35021
1856,30291
1005,122755
1005,1646
357,1005
357,122755
357,1646
2798,1272156
1571,324091
32814,47693
32814,289878
32814,865864
2798,46896
5032,107935
20770,32914
12783,137578
938,24185
938,12387
30416,39382
30416,101236
30416,148347
15251,24074
37904,1120070
236,1460
4222,107705
815,2122
143,24159
1539,35917
38025,226459
38025,159282
38025,1217175
38025,57777
323769,509822
323769,398332
323769,450607
323769,422293
323769,625060
14462,51655
33318,1134585
2970,11072
1528,33867
