artist_a,artist_b
115052,493532
813,1240195
791,207671
956,108159
1460,1748
31781,373289
9213,115029
134370,473558
134370,1134682
134370,230145
5884,46864
23231,2199961
30471,465057
11668,35629
11668,45862
52486,254559
495,3217
1587,2038
17,196
991,3121306
9366,281578
34126,196926
9346,195122
42,131161
156,202
956,508050
123,10689
31781,86371
15667,58043
227,946649
42,1114
30471,85218
3219,11999
20544,124506
493,167512
493,207671
112461,326369
514,34409
514,49634
34409,49634
1539,46998
1583,11188
146,11229
514,22656
717,14503
32814,41057
1583,31598
513,11999
31246,158648
469,167512
35629,45862
513,50828
513,41057
513,86371
513,56075
101,43169
143,2763
2119,65296
1966,11491
70,37552
1966,50761
236,6519
236,32798
236,32474
236,24517
236,2327
236,32513
236,11285
236,36817
236,12438
236,34491
236,10341
236,45916
236,1021
815,89738
5032,42007
101,42255
31100,76074
1966,1263491
236,42260
35629,167512
11062,409581
11062,47642
299,97619
132274,812154
15251,107212
513,2781
2098,3219
387,372708
3418,3696
3418,73482
10213,31353
12299,470930
12299,478493
824,49819
42495,420619
14310,55624
14310,178910
42495,122653
42495,44835
42495,71102
42495,391685
42495,389988
42495,166513
22656,49461
12299,242276
12299,15747
12299,802991
12299,358091
12299,130808
12299,358966
12299,41124
12299,51140
12299,413497
12299,635567
12299,23395
12299,190737
12299,124935
12299,236203
52377,551223
52377,551222
22656,48578
21652,39382
4696,69122
4696,63580
12299,16210
12299,303190
12299,22462
12299,451970
12299,81420
12299,122653
12299,34560
12299,490315
12299,31454
12299,242340
12299,15666
12299,45435
12299,56312
12299,520269
12299,321990
42495,163969
42495,56312
20480,56123
12299,242448
12299,224030
12299,222194
12299,67845
12299,975758
12299,710677
12299,39355
12299,326384
12299,1111159
12299,232782
12299,287817
12299,1080854
12299,271572
12299,303197
42495,459467
42495,1132392
42495,1351984
57186,930238
4335,4473
4335,65165
12299,32736
12299,34491
12299,586638
12299,127684
525,78253
525,24021
42495,400212
12299,238352
12299,737735
42495,52996
42495,171234
42495,46947
42495,44429
32197,41282
181386,197512
12299,132084
12299,32266
12299,125970
52377,318723
12299,32513
12299,435883
12299,12439
12299,254327
12299,163969
12299,71102
12299,236205
12299,37546
12299,249425
12299,631827
12299,1160146
12299,1157772
12299,1157775
12299,366769
962,1127
42495,366701
42495,1161702
42495,236205
114813,210807
12299,326438
12299,954369
12299,451972
12299,364824
12299,48152
12299,364825
12299,364827
114813,1234510
12299,47881
117812,328180
117812,328184
12299,20157
12299,389988
12299,994123
12299,429053
12299,235974
12299,445944
12299,1341541
12299,3134715
12299,907767
12299,1135522
32197,58890
32197,167512
32197,33205
33205,58890
33205,167512
12299,403417
12299,122916
12299,124937
12299,788895
12299,275376
12299,444096
12299,421260
12299,42495
12299,459467
42495,421260
1344,3745
12299,24465
12299,491194
12299,899138
12299,46947
12299,275383
12299,436252
12299,254613
12299,346369
12299,238351
12299,776218
32829,169160
11669,54792
42495,165013
42495,124934
12299,165013
12299,124934
12299,737537
12299,1086131
11669,93769
9699,11669
9699,93769
179,59063
12683,43676
214,246274
30554,42227
177,56123
177,20480
177,744755
249403,460408
249403,603029
24021,275455
10794,12299
213,9987
249403,722588
14758,471885
214,50828
24021,78253
924,41073
924,33040
924,38925
213,95968
179,2595
179,254802
825,1853799
249403,1632198
9160,271327
199,9760
348,1605
177,1229828
1001,387104
6083,581559
1001,35066
6083,12099
1001,1818
2735,10284
