name,musicbrainz_artist_id,degree_centrality_top10_yearly,degree_centrality_firstsong_yearly,degree_centrality_top10_rolling5,degree_centrality_firstsong_rolling5,closeness_centrality_top10_yearly,closeness_centrality_firstsong_yearly,closeness_centrality_top10_rolling5,closeness_centrality_firstsong_rolling5,harmonic_closeness_centrality_top10_yearly,harmonic_closeness_centrality_firstsong_yearly,harmonic_closeness_centrality_top10_rolling5,harmonic_closeness_centrality_firstsong_rolling5,betweenness_centrality_top10_yearly,betweenness_centrality_firstsong_yearly,betweenness_centrality_top10_rolling5,betweenness_centrality_firstsong_rolling5,eigenvector_centrality_top10_yearly,eigenvector_centrality_firstsong_yearly,eigenvector_centrality_top10_rolling5,eigenvector_centrality_firstsong_rolling5,power_of_connected_artists_top10_yearly,power_of_connected_artists_firstsong_yearly,power_of_connected_artists_top10_rolling5,power_of_connected_artists_firstsong_rolling5
!!! (chk chk chk),,,,,,,,,,,,,,,,,,,,,,,,,
"""groove"" holmes",,,,,,,,,,,,,,,,,,,,,,,,,
"""little"" jimmy dickens",,,,,,,,,,,,,,,,,,,,,,,,,
"""pookie"" hudson",232958.0,,,,,,,,,,,,,,,,,,,,,,,,
"""weird al"" yankovic",,,,,,,,,,,,,,,,,,,,,,,,,
$not,1820772.0,,0.000591715976331361,,0.00042684878881656173,,0.0011834319526627217,,0.12419336006202228,,5.2,,1229.5238317238493,,5.920662077467687e-07,,0.00015452435000734373,,9.544002844936487e-19,,1.0958044258218546e-05,,,,
$uicideboy$,1242195.0,,,,0.00040261701056869655,,,,0.14065784605695175,,,,1489.7143217893995,,,,0.0007459393372940564,,,,1.1145281090210997e-05,,,,93.0
$uicideboy$ x germ,,,,,,,,,,,,,,,,,,,,,,,,,
& cardi b or nas,,,,,,,,,,,,,,,,,,,,,,,,,
& jack harlow,,,,,,,,,,,,,,,,,,,,,,,,,
& johnny cash,,,,,,,,,,,,,,,,,,,,,,,,,
& mystikal,,,,,,,,,,,,,,,,,,,,,,,,,
& sam dew,,,,,,,,,,,,,,,,,,,,,,,,,
& youngboy never broke again,,,,,,,,,,,,,,,,,,,,,,,,,
'68,2698113.0,,,,,,,,,,,,,,,,,,,,,,,,
'n sync,,,,,,,,,,,,,,,,,,,,,,,,,
'til tuesday,,,,,,,,,,,,,,,,,,,,,,,,,
'weird al' yankovic,,,,,,,,,,,,,,,,,,,,,,,,,
(+44),,,,,,,,,,,,,,,,,,,,,,,,,
(g)i-dle,,,,,,,,,,,,,,,,,,,,,,,,,
(hed) p.e.,,,,,,,,,,,,,,,,,,,,,,,,,
(hed) planet earth,,,,,,,,,,,,,,,,,,,,,,,,,
(the preacher) bobby womack,,,,,,,,,,,,,,,,,,,,,,,,,
*nsync,2261.0,,,,,,,,,,,,,,,,,,,,,,,,
...and you will know us by the trail of dead,,,,,,,,,,,,,,,,,,,,,,,,,
070 shake,1447081.0,,0.0006956521739130435,,0.0004134794293983874,,0.050427907997220904,,0.15486314943281487,,161.53941752691702,,1619.4196969697707,,0.0006265507484235631,,4.3138496809792415e-05,,1.0162275546988908e-05,,0.0012443545684200615,,100.0,,293.5
1 of the girls,360106.0,,,,,,,,,,,,,,,,,,,,,,,,
1-1-six,,,,,,,,,,,,,,,,,,,,,,,,,
10 years,230015.0,,0.0008547008547008547,,0.0002673082063619353,,0.0008547008547008547,,0.0002673082063619353,,1.0,,1.0,,0.0,,0.0,,9.898644998510235e-62,,1.8454800102625164e-40,,,,
"10,000 maniacs",2925.0,,,,0.0016629711751662971,,,,0.0016629711751662971,,,,3.0,,,,2.219754461952425e-06,,,,2.7805285580101634e-25,,,,100.0
100 gecs,1777231.0,,,,,,,,,,,,,,,,,,,,,,,,
100 proof aged in soul,38496.0,,,,,,,,,,,,,,,,,,,,,,,,
100 strings,2725983.0,,,,,,,,,,,,,,,,,,,,,,,,
10cc,18.0,,,0.0009191176470588235,,,,0.02306335772450316,,,,34.59999722499722,,,,0.0,,,,6.838531827785986e-10,,,,16.0,
112,20091.0,0.0032362459546925564,,0.0009475679090334807,,0.008907098957869421,,0.04538382069982912,,10.866666666666667,,157.25101889424758,,1.0810785622587087e-05,,8.72313353073084e-05,,7.026185003906297e-14,,3.9363613367117245e-15,,189.5,,189.5,
12 gauge,1732751.0,,,,,,,,,,,,,,,,,,,,,,,,
12 stones,51973.0,,,,,,,,,,,,,,,,,,,,,,,,
1910 fruitgum co.,24587.0,,,,,,,,,,,,,,,,,,,,,,,,
1927,24012.0,,,,,,,,,,,,,,,,,,,,,,,,
2 chainz,843338.0,0.011138613861386138,0.011138613861386138,0.0043740887315142675,0.0043740887315142675,0.06493770998721494,0.06493770998721494,0.11541126309270519,0.11541126309270519,135.9893217893217,135.9893217893217,656.6598124098127,656.6598124098127,0.005255177700919304,0.005255177700919304,0.003673328124125153,0.003673328124125153,0.22572340512744615,0.22572340512744615,0.13494494086134318,0.13494494086134318,1494.0,1494.0,1594.0,1594.0
2 chainz x gucci mane x quavo,,,,,,,,,,,,,,,,,,,,,,,,,
2 hyped brothers & a dog,108054.0,,,,,,,,,,,,,,,,,,,,,,,,
2 in a room,61970.0,,,,,,,,,,,,,,,,,,,,,,,,
2 low,615502.0,,,,,,,,,,,,,,,,,,,,,,,,
2 of clubs,340051.0,,,,,,,,,,,,,,,,,,,,,,,,
2 pistols,504859.0,,,,,,,,,,,,,,,,,,,,,,,,
2 unlimited,683.0,,,,,,,,,,,,,,,,,,,,,,,,
20 fingers,9903.0,,0.002157497303128371,,0.0007062146892655367,,0.002157497303128371,,0.0007062146892655367,,2.0,,2.0,,4.324314249034835e-06,,0.0,,8.416042476288818e-30,,4.840774981646329e-42,,,,
20/20,358051.0,,,,,,,,,,,,,,,,,,,,,,,,
21 savage,1277206.0,0.004708904109589041,0.002844950213371266,0.0027737226277372265,0.0013966480446927375,0.10366132490464951,0.0894659428494015,0.14095932740661316,0.11993069670207919,278.6956349206343,213.25717893217788,1121.0132395382457,892.642740592744,0.0014604420400472955,0.0009964618512256582,0.0009071099128527509,0.0002623565588898318,0.050379283185630876,0.00030801194855474144,0.034893807576119346,0.01883829814474401,689.5,264.0,1083.0,364.0
21 savage & baby tate,,,,,,,,,,,,,,,,,,,,,,,,,
"21 savage & tyler, the creator",,,,,,,,,,,,,,,,,,,,,,,,,
"21 savage, travis scott & yak gotti",,,,,,,,,,,,,,,,,,,,,,,,,
213,2685137.0,,,,,,,,,,,,,,,,,,,,,,,,
21:03,740954.0,,,,,,,,,,,,,,,,,,,,,,,,
24-7 spyz,,,,,,,,,,,,,,,,,,,,,,,,,
24kgoldn,1851042.0,0.006203473945409429,0.000715307582260372,0.0025545750116117046,0.00025471217524197657,0.12081944239714013,0.06697556946548197,0.17248159975716304,0.11993286534059917,448.39689754689556,200.9582251082234,1633.0869769120134,1016.6859224109195,0.03416048706186619,0.001009305396669405,0.002438346962295111,8.356687626970824e-05,0.0001467049733537829,2.9670670910122233e-05,0.011213220983121863,8.862743024828207e-05,946.0,98.0,1044.0,98.0
2am club,716697.0,,,,,,,,,,,,,,,,,,,,,,,,
2cellos,809852.0,,,,,,,,,,,,,,,,,,,,,,,,
2cellos/london symphony orchestra,,,,,,,,,,,,,,,,,,,,,,,,,
2gether,,,,,,,,,,,,,,,,,,,,,,,,,
2nd ii none,50744.0,,,,,,,,,,,,,,,,,,,,,,,,
2ne1,632863.0,,,,,,,,,,,,,,,,,,,,,,,,
2nu,10805.0,,,,,,,,,,,,,,,,,,,,,,,,
2pac,163.0,0.0011086474501108647,0.004993757802746567,0.001675603217158177,0.0015337423312883436,0.001970928800197093,0.005201831044527674,0.0020274798927613943,0.0015976482617586912,2.1666666666666665,4.5,7.499999999999999,4.5,0.0,2.0024968789013733e-05,6.706906608403832e-06,0.0,7.645061354274219e-16,1.2807181139584284e-21,2.733847985250882e-34,1.980072816392435e-35,99.0,100.0,199.0,100.0
