iter	Passed	Remaining
0	0	195
1	1	159
2	2	145
3	2	140
4	3	155
5	4	151
6	5	148
7	6	145
8	6	141
9	7	137
10	7	135
11	8	133
12	9	131
13	9	132
14	10	133
15	11	131
16	12	131
17	13	132
18	14	139
19	15	142
20	17	149
21	18	148
22	19	146
23	19	144
24	20	142
25	20	140
26	21	138
27	22	136
28	22	134
29	23	133
30	24	131
31	24	130
32	25	129
33	26	127
34	26	126
35	27	125
36	28	123
37	28	122
38	29	121
39	30	123
40	33	131
41	35	133
42	36	132
43	37	132
44	38	131
45	39	131
46	40	130
47	41	130
48	42	129
49	43	129
50	44	130
51	45	130
52	47	132
53	48	131
54	49	130
55	51	131
56	52	130
57	52	128
58	53	127
59	53	125
60	54	124
61	55	123
62	56	122
63	56	120
64	57	119
65	58	118
66	58	116
67	59	115
68	60	114
69	61	115
70	62	114
71	63	113
72	65	113
73	66	112
74	67	112
75	68	111
76	69	111
77	70	111
78	71	110
79	72	109
80	73	108
81	74	107
82	76	107
83	77	107
84	78	106
85	79	105
86	80	104
87	82	104
88	83	104
89	84	103
90	86	103
91	87	102
92	88	101
93	89	100
94	90	99
95	91	99
96	92	98
97	93	97
98	93	95
99	94	94
100	95	93
101	95	92
102	96	90
103	97	89
104	97	88
105	98	87
106	99	86
107	99	85
108	100	83
109	101	82
110	101	81
111	102	80
112	104	80
113	105	79
114	106	78
115	106	77
116	107	76
117	108	75
118	108	74
119	109	73
120	110	72
121	111	70
122	111	69
123	112	68
124	114	68
125	115	67
126	116	67
127	117	66
128	119	65
129	120	64
130	121	63
131	122	62
132	123	62
133	124	61
134	125	60
135	125	59
136	126	58
137	127	57
138	128	56
139	129	55
140	130	54
141	131	53
142	132	53
143	134	52
144	135	51
145	136	50
146	136	49
147	137	48
148	138	47
149	138	46
150	139	45
151	140	44
152	140	43
153	141	42
154	142	41
155	142	40
156	143	39
157	144	38
158	145	37
159	145	36
160	146	35
161	147	34
162	148	33
163	150	32
164	151	32
165	152	31
166	153	30
167	154	29
168	154	28
169	155	27
170	156	26
171	157	25
172	157	24
173	158	23
174	159	22
175	160	21
176	160	20
177	162	20
178	163	19
179	164	18
180	165	17
181	165	16
182	166	15
183	168	14
184	169	13
185	170	12
186	171	11
187	172	11
188	174	10
189	175	9
190	177	8
191	179	7
192	180	6
193	182	5
194	183	4
195	184	3
196	185	2
197	186	1
198	187	0
199	188	0
