iter	Logloss
0	0.6914800542
1	0.6893644548
2	0.6876486699
3	0.6859260186
4	0.6843302335
5	0.6824733477
6	0.6812037535
7	0.6794438939
8	0.6783164643
9	0.6754809255
10	0.6735781937
11	0.6724452288
12	0.6717742601
13	0.6698254246
14	0.6669022078
15	0.6657228821
16	0.6642944631
17	0.6627477099
18	0.6612907944
19	0.6599943669
20	0.6572082863
21	0.6546088655
22	0.6535731031
23	0.6526582113
24	0.651411698
25	0.6505261649
26	0.6495838715
27	0.6482533937
28	0.6473843695
29	0.6457179461
30	0.6444041605
31	0.6421107861
32	0.6409602839
33	0.6399784898
34	0.6389721398
35	0.6380596528
36	0.6362730012
37	0.6357847201
38	0.6340958707
39	0.6321471482
40	0.6312276575
41	0.6304881517
42	0.6298489581
43	0.6292681733
44	0.6287749683
45	0.6275982469
46	0.6267699672
47	0.6250729928
48	0.6235409332
49	0.622902213
50	0.6220679537
51	0.6204985173
52	0.6199018498
53	0.6193059068
54	0.6188738593
55	0.6182941296
56	0.6169575281
57	0.6163617727
58	0.6159352468
59	0.614734758
60	0.6146177898
61	0.6138199177
62	0.612631503
63	0.6116758345
64	0.6103546396
65	0.6098840154
66	0.6094136464
67	0.6085646325
68	0.6080974888
69	0.6075893793
70	0.6075111859
71	0.6071686768
72	0.6065298136
73	0.6056530858
74	0.605495771
75	0.6049889763
76	0.6037235207
77	0.6033568522
78	0.6027878232
79	0.602165519
80	0.6016448598
81	0.6012368922
82	0.600610719
83	0.6002451351
84	0.5996196983
85	0.5992632826
86	0.5989945215
87	0.5981076358
88	0.5965907714
89	0.5956976267
90	0.595344796
91	0.594406392
92	0.5935591032
93	0.5933455933
94	0.5928947052
95	0.592219019
96	0.5914998941
97	0.5906867925
98	0.5904783214
99	0.5899102458
100	0.589715467
101	0.5894281087
102	0.5889232061
103	0.58868643
104	0.588114534
105	0.5879490853
106	0.5873594232
107	0.5871727754
108	0.5868460542
109	0.5865157016
110	0.5862703827
111	0.5855678915
112	0.5846092931
113	0.5844709392
114	0.5840013537
115	0.5837718621
116	0.5837001218
117	0.583380405
118	0.5827222594
119	0.5825203208
120	0.5823048403
121	0.5813610971
122	0.5809661373
123	0.580956437
124	0.5807792416
125	0.5805339322
126	0.5800625749
127	0.5794163525
128	0.5789860783
129	0.5789270579
130	0.5788160862
131	0.5786980334
132	0.5779912054
133	0.5777285768
134	0.5771782048
135	0.5763985131
136	0.5757105548
137	0.5754538708
138	0.575079274
139	0.5744011532
140	0.5742407591
141	0.5741063917
142	0.5737139982
143	0.5732186907
144	0.5731352839
145	0.5727331749
146	0.5726406791
147	0.5726032463
148	0.5724267828
149	0.5719214682
150	0.5715531339
151	0.5714912104
152	0.5712147668
153	0.5710502701
154	0.5706185565
155	0.5704004565
156	0.570219272
157	0.5700782835
158	0.5697488529
159	0.5697028241
160	0.5695586
161	0.5694980147
162	0.5691565432
163	0.5690187838
164	0.5687940111
165	0.5685735386
166	0.5684526965
167	0.5682802049
168	0.5681645529
169	0.5681317659
170	0.5677513464
171	0.5672451699
172	0.5666188118
173	0.5662273836
174	0.5659850348
175	0.5658370949
176	0.5657080332
177	0.5650991823
178	0.5646206609
179	0.5643116477
180	0.5638106408
181	0.5636976417
182	0.5636141641
183	0.5634943089
184	0.5630471942
185	0.5624881005
186	0.5623042689
187	0.5618324591
188	0.5617258994
189	0.5612378546
190	0.561134667
191	0.5610239197
192	0.5609534588
193	0.5608600419
194	0.5607146817
195	0.5603516872
196	0.5602599396
197	0.5602260025
198	0.5600528158
199	0.5599658932
200	0.55995297
201	0.5598602876
202	0.5594644134
203	0.5594013709
204	0.5589141303
205	0.5586041651
206	0.5580595571
207	0.5578042752
208	0.5575992967
209	0.5573989291
210	0.5573283339
211	0.5572554619
212	0.5569347094
213	0.5567651314
214	0.5564435472
215	0.5559478366
216	0.5558030057
217	0.5553134415
218	0.555219228
219	0.5551615497
220	0.5550870874
221	0.5550291305
222	0.5548852503
223	0.5546205089
224	0.5543726523
225	0.5542016701
226	0.5538425692
227	0.5535773427
228	0.553471904
229	0.5533526407
230	0.5532697663
231	0.5531687693
232	0.5530472206
233	0.5529232491
234	0.5527892544
235	0.5525461321
236	0.5524500826
237	0.5520859622
