title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized,label,first_year_top_10_songs,first_top_10_hit,precedes_first_top_10_hit,tags,genre_tags_musicbrainz,top_10_1hit_wonder_song,top_10_hitmaker_song,musicbrainz_artist_id
It's All In The Game,Tommy Edwards,1,22,1958,,tommy edwards,,"Gold Dust, MGM Records",1958,True,False,,,True,False,50140
It's Only Make Believe,Conway Twitty,1,21,1958,,conway twitty,,,1958,True,False,,,False,True,6441
Little Star,The Elegants,1,17,1958,,the elegants,,APT,1958,True,False,,,True,False,101064
Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1,16,1958,,domenico modugno,,,1958,True,False,,,True,False,66983
Poor Little Fool,Ricky Nelson,1,11,1958,,ricky nelson,,,1958,True,False,,,False,True,386382
Smoke Gets In Your Eyes,The Platters,1,19,1958,,the platters,,"Instant, Mercury Records, Prism Leisure",1958,True,False,,,False,True,1810
Stagger Lee,Lloyd Price,1,21,1958,,lloyd price,,"ABC-Paramount, Life Time, TSG Records",1958,True,False,,,False,True,24108
The Chipmunk Song,The Chipmunks,1,13,1958,The Chipmunks With David Seville,the chipmunks,,"Liberty, Pair Records",1958,True,False,,,False,True,16283
The Chipmunk Song,David Seville,1,13,1958,The Chipmunks With David Seville,david seville,,Liberty,1958,True,False,,,False,True,37902
"To Know Him, Is To Love Him",The Teddy Bears,1,23,1958,,the teddy bears,,Doré,1958,True,False,,,True,False,69524
Tom Dooley,The Kingston Trio,1,21,1958,,the kingston trio,,"Capitol Records, First Choice, L.T. Series",1958,True,False,,,False,True,49460
16 Candles,The Crests,2,21,1958,,the crests,,Coed,1958,True,False,,,True,False,69560
Bird Dog,The Everly Brothers,2,18,1958,,the everly brothers,,Cadence Records,1958,True,False,"rock, classic rock, rock and roll","rock, classic rock, rock and roll",False,True,137543
Donna,Ritchie Valens,2,23,1958,,ritchie valens,,"Ariola, Del-Fi Records, London American Recordings",1958,True,False,doo-wop,doo-wop,True,False,32992
Jingle Bell Rock,Bobby Helms,2,68,1958,,bobby helms,,"Certron Corporation, Country Rewind Records, Decca Records",1958,True,False,,,True,False,35793
My Happiness,Connie Francis,2,18,1958,,connie francis,,"MGM Records, Planet Media",1958,True,False,,,False,True,34112
Patricia,Perez Prado,2,14,1958,Perez Prado And His Orchestra,perez prado,,,1958,True,False,,,True,False,
Patricia,His Orchestra,2,14,1958,Perez Prado And His Orchestra,his orchestra,,"Decca Records, London Records, RCA",1958,True,False,,,False,True,2915183
Problems,The Everly Brothers,2,15,1958,,the everly brothers,,"Apex, Cadence Records",1958,True,False,,,False,True,137543
Rock-in Robin,Bobby Day,2,21,1958,,bobby day,,,1958,True,False,,,True,False,24096
The All American Boy,Bill Parsons,2,16,1958,,bill parsons,,"Buccaneer, Fraternity",1958,True,False,,,True,False,2126671
My True Love,Jack Scott,3,14,1958,,jack scott,,"Carlton, Hallmark Records, Pegasus Entertainment",1958,True,False,,,False,True,2603902
